trade_id,ts_utc,as_of,asset_id,ticker,side,action_tag,quantity,price,currency,quantity_unit,route,value_usd,fx_to_usd,price_usd,engine_realized_delta,reported_pnl,diff_engine_minus_reported,note,_s3_key,reported_pnl_usd,diff_engine_minus_reported_usd,abs_diff
20200611-d06dc4b5a72fa2d0,2020-06-11T19:58:16Z,2020-06-11,EQHdb7aee8af0868213,TRV,BUY,close,4.0,110.88,USD,shares,SPOT,,1.0,110.88,-1.1999999999999886,-1.2,1.1324274851176597e-14,,engine/v1/trades/dt=2020-06-11/trade_20200611-d06dc4b5a72fa2d0.json,,,1.1324274851176597e-14
20200616-186f2e132f88cb7e,2020-06-16T13:54:25Z,2020-06-16,EQH7c4faf2878658b6a,BA,BUY,close,2.0,200.16,USD,shares,SPOT,,1.0,200.16,1.1999999999999886,1.2,-1.1324274851176597e-14,,engine/v1/trades/dt=2020-06-16/trade_20200616-186f2e132f88cb7e.json,,,1.1324274851176597e-14
20200616-22c038c27970b21d,2020-06-16T16:55:25Z,2020-06-16,EQH7c4faf2878658b6a,BA,SELL,close,10.0,199.72,USD,shares,SPOT,,1.0,199.72,12.199999999999989,12.2,-1.0658141036401503e-14,,engine/v1/trades/dt=2020-06-16/trade_20200616-22c038c27970b21d.json,,,1.0658141036401503e-14
20200609-de0796a030a254cc,2020-06-09T18:14:27Z,2020-06-09,EQH7c4faf2878658b6a,BA,BUY,close,3.0,218.25,USD,shares,SPOT,,1.0,218.25,1.0200000000000102,1.02,1.021405182655144e-14,,engine/v1/trades/dt=2020-06-09/trade_20200609-de0796a030a254cc.json,,,1.021405182655144e-14
20200612-f5cfecde491f4ffb,2020-06-12T17:39:22Z,2020-06-12,EQHdb7aee8af0868213,TRV,SELL,close,2.0,111.18,USD,shares,SPOT,,1.0,111.18,-1.9799999999999898,-1.98,1.021405182655144e-14,,engine/v1/trades/dt=2020-06-12/trade_20200612-f5cfecde491f4ffb.json,,,1.021405182655144e-14
20200612-8fd06d99a1e3d42d,2020-06-12T14:38:47Z,2020-06-12,EQHdb7aee8af0868213,TRV,BUY,close,4.0,112.2,USD,shares,SPOT,,1.0,112.2,0.7599999999999909,0.76,-9.103828801926284e-15,,engine/v1/trades/dt=2020-06-12/trade_20200612-8fd06d99a1e3d42d.json,,,9.103828801926284e-15
20200604-e237fcb9eb84e988,2020-06-04T19:54:34Z,2020-06-04,EQH6be7f19dac21f7bd,HP,SELL,close,60.0,24.68,USD,shares,SPOT,,1.0,24.68,5.3999999999999915,5.4,-8.881784197001252e-15,,engine/v1/trades/dt=2020-06-04/trade_20200604-e237fcb9eb84e988.json,,,8.881784197001252e-15
20200610-b2c06be277634c1b,2020-06-10T15:07:49Z,2020-06-10,EQH1193212f4e8bb727,AAL,SELL,close,60.0,16.79,USD,shares,SPOT,,1.0,16.79,5.3999999999999915,5.4,-8.881784197001252e-15,,engine/v1/trades/dt=2020-06-10/trade_20200610-b2c06be277634c1b.json,,,8.881784197001252e-15
20200615-cfc9d35febbefd8f,2020-06-15T18:01:52Z,2020-06-15,EQH7c4faf2878658b6a,BA,BUY,close,2.0,191.03,USD,shares,SPOT,,1.0,191.03,-6.259999999999991,-6.26,8.881784197001252e-15,,engine/v1/trades/dt=2020-06-15/trade_20200615-cfc9d35febbefd8f.json,,,8.881784197001252e-15
20200610-30a766e675fcfb43,2020-06-10T13:47:05Z,2020-06-10,EQH1193212f4e8bb727,AAL,SELL,close,30.0,16.91,USD,shares,SPOT,,1.0,16.91,2.1000000000000085,2.1,8.43769498715119e-15,,engine/v1/trades/dt=2020-06-10/trade_20200610-30a766e675fcfb43.json,,,8.43769498715119e-15
20200610-2625ea7f9e084c7c,2020-06-10T14:39:18Z,2020-06-10,EQH1193212f4e8bb727,AAL,SELL,close,30.0,16.52,USD,shares,SPOT,,1.0,16.52,2.1000000000000085,2.1,8.43769498715119e-15,,engine/v1/trades/dt=2020-06-10/trade_20200610-2625ea7f9e084c7c.json,,,8.43769498715119e-15
20200630-ffdd2a03ebbba81b,2020-06-30T14:49:11Z,2020-06-30,EQHaf9480c78c15f6d4,WBA,SELL,close,28.0,42.12,USD,shares,SPOT,,1.0,42.12,1.960000000000008,1.96,7.993605777301127e-15,,engine/v1/trades/dt=2020-06-30/trade_20200630-ffdd2a03ebbba81b.json,,,7.993605777301127e-15
20200521-cfcbe170c3b9da41,2020-05-21T14:56:29Z,2020-05-21,EQH5122ffa0bc04e875,RCL,BUY,close,28.0,44.22,USD,shares,SPOT,,1.0,44.22,-8.960000000000008,-8.96,-7.105427357601002e-15,,engine/v1/trades/dt=2020-05-21/trade_20200521-cfcbe170c3b9da41.json,,,7.105427357601002e-15
20200521-3df56aa722d215fd,2020-05-21T15:26:35Z,2020-05-21,EQH5122ffa0bc04e875,RCL,BUY,close,28.0,42.81,USD,shares,SPOT,,1.0,42.81,15.960000000000008,15.96,7.105427357601002e-15,,engine/v1/trades/dt=2020-05-21/trade_20200521-3df56aa722d215fd.json,,,7.105427357601002e-15
20200521-7e3c9e98e8c5754c,2020-05-21T15:44:22Z,2020-05-21,EQH5122ffa0bc04e875,RCL,SELL,close,24.0,43.72,USD,shares,SPOT,,1.0,43.72,16.319999999999993,16.32,-7.105427357601002e-15,,engine/v1/trades/dt=2020-05-21/trade_20200521-7e3c9e98e8c5754c.json,,,7.105427357601002e-15
20200616-365cc501afe10c98,2020-06-16T14:44:30Z,2020-06-16,EQH2e13df1e7f57fe16,META,BUY,close,3.0,236.08,USD,shares,SPOT,,1.0,236.08,4.319999999999993,4.32,-7.105427357601002e-15,,engine/v1/trades/dt=2020-06-16/trade_20200616-365cc501afe10c98.json,,,7.105427357601002e-15
20200604-1d7b305267647817,2020-06-04T19:35:57Z,2020-06-04,EQH52bf37d5272016be,BAC,SELL,close,24.0,26.75,USD,shares,SPOT,,1.0,26.75,1.6800000000000068,1.68,6.8833827526759706e-15,,engine/v1/trades/dt=2020-06-04/trade_20200604-1d7b305267647817.json,,,6.8833827526759706e-15
20200604-893fabdc6860cc9a,2020-06-04T19:37:02Z,2020-06-04,EQH890be10d8d837909,DAL,SELL,close,12.0,32.14,USD,shares,SPOT,,1.0,32.14,-1.3199999999999932,-1.32,6.8833827526759706e-15,,engine/v1/trades/dt=2020-06-04/trade_20200604-893fabdc6860cc9a.json,,,6.8833827526759706e-15
